Freq.	V(vo)
Step Information: Run=1  (Run: 1/10)
1.00000000000000e+001	(6.14808198741358e+000dB,-5.84933419918202e-001°)
1.00230523807790e+001	(6.14808358186976e+000dB,-5.86281985201452e-001°)
1.00461579027840e+001	(6.14808518368465e+000dB,-5.87633660319646e-001°)
1.00693166885180e+001	(6.14808679289218e+000dB,-5.88988452449118e-001°)
1.00925288607668e+001	(6.14808840952647e+000dB,-5.90346368782798e-001°)
1.01157945425990e+001	(6.14809003362181e+000dB,-5.91707416530246e-001°)
1.01391138573668e+001	(6.14809166521261e+000dB,-5.93071602917695e-001°)
1.01624869287070e+001	(6.14809330433346e+000dB,-5.94438935188090e-001°)
1.01859138805412e+001	(6.14809495101911e+000dB,-5.95809420601123e-001°)
1.02093948370768e+001	(6.14809660530446e+000dB,-5.97183066433278e-001°)
1.02329299228075e+001	(6.14809826722461e+000dB,-5.98559879977862e-001°)
1.02565192625141e+001	(6.14809993681475e+000dB,-5.99939868545052e-001°)
1.02801629812647e+001	(6.14810161411030e+000dB,-6.01323039461934e-001°)
1.03038612044162e+001	(6.14810329914680e+000dB,-6.02709400072533e-001°)
1.03276140576140e+001	(6.14810499195999e+000dB,-6.04098957737864e-001°)
1.03514216667934e+001	(6.14810669258573e+000dB,-6.05491719835962e-001°)
1.03752841581801e+001	(6.14810840106009e+000dB,-6.06887693761929e-001°)
1.03992016582906e+001	(6.14811011741929e+000dB,-6.08286886927972e-001°)
1.04231742939330e+001	(6.14811184169970e+000dB,-6.09689306763438e-001°)
1.04472021922080e+001	(6.14811357393788e+000dB,-6.11094960714860e-001°)
1.04712854805090e+001	(6.14811531417055e+000dB,-6.12503856245994e-001°)
1.04954242865232e+001	(6.14811706243460e+000dB,-6.13916000837858e-001°)
1.05196187382322e+001	(6.14811881876709e+000dB,-6.15331401988779e-001°)
1.05438689639126e+001	(6.14812058320524e+000dB,-6.16750067214419e-001°)
1.05681750921366e+001	(6.14812235578648e+000dB,-6.18172004047832e-001°)
1.05925372517729e+001	(6.14812413654836e+000dB,-6.19597220039496e-001°)
1.06169555719872e+001	(6.14812592552865e+000dB,-6.21025722757352e-001°)
1.06414301822431e+001	(6.14812772276525e+000dB,-6.22457519786849e-001°)
1.06659612123026e+001	(6.14812952829628e+000dB,-6.23892618730982e-001°)
1.06905487922266e+001	(6.14813134215999e+000dB,-6.25331027210334e-001°)
1.07151930523761e+001	(6.14813316439485e+000dB,-6.26772752863120e-001°)
1.07398941234124e+001	(6.14813499503950e+000dB,-6.28217803345219e-001°)
1.07646521362983e+001	(6.14813683413270e+000dB,-6.29666186330226e-001°)
1.07894672222983e+001	(6.14813868171348e+000dB,-6.31117909509485e-001°)
1.08143395129794e+001	(6.14814053782098e+000dB,-6.32572980592139e-001°)
1.08392691402120e+001	(6.14814240249455e+000dB,-6.34031407305157e-001°)
1.08642562361706e+001	(6.14814427577372e+000dB,-6.35493197393393e-001°)
1.08893009333343e+001	(6.14814615769821e+000dB,-6.36958358619617e-001°)
1.09144033644875e+001	(6.14814804830789e+000dB,-6.38426898764559e-001°)
1.09395636627209e+001	(6.14814994764285e+000dB,-6.39898825626949e-001°)
1.09647819614318e+001	(6.14815185574335e+000dB,-6.41374147023564e-001°)
1.09900583943252e+001	(6.14815377264983e+000dB,-6.42852870789261e-001°)
1.10153930954141e+001	(6.14815569840294e+000dB,-6.44335004777036e-001°)
1.10407861990207e+001	(6.14815763304348e+000dB,-6.45820556858046e-001°)
1.10662378397766e+001	(6.14815957661247e+000dB,-6.47309534921665e-001°)
1.10917481526240e+001	(6.14816152915112e+000dB,-6.48801946875518e-001°)
1.11173172728159e+001	(6.14816349070079e+000dB,-6.50297800645533e-001°)
1.11429453359173e+001	(6.14816546130309e+000dB,-6.51797104175975e-001°)
1.11686324778056e+001	(6.14816744099977e+000dB,-6.53299865429495e-001°)
1.11943788346715e+001	(6.14816942983280e+000dB,-6.54806092387169e-001°)
1.12201845430196e+001	(6.14817142784434e+000dB,-6.56315793048537e-001°)
1.12460497396692e+001	(6.14817343507675e+000dB,-6.57828975431657e-001°)
1.12719745617551e+001	(6.14817545157256e+000dB,-6.59345647573143e-001°)
1.12979591467279e+001	(6.14817747737451e+000dB,-6.60865817528203e-001°)
1.13240036323555e+001	(6.14817951252556e+000dB,-6.62389493370690e-001°)
1.13501081567231e+001	(6.14818155706886e+000dB,-6.63916683193140e-001°)
1.13762728582343e+001	(6.14818361104771e+000dB,-6.65447395106819e-001°)
1.14024978756117e+001	(6.14818567450567e+000dB,-6.66981637241768e-001°)
1.14287833478977e+001	(6.14818774748647e+000dB,-6.68519417746840e-001°)
1.14551294144553e+001	(6.14818983003406e+000dB,-6.70060744789751e-001°)
1.14815362149688e+001	(6.14819192219258e+000dB,-6.71605626557122e-001°)
1.15080038894443e+001	(6.14819402400637e+000dB,-6.73154071254521e-001°)
1.15345325782109e+001	(6.14819613551998e+000dB,-6.74706087106507e-001°)
1.15611224219210e+001	(6.14819825677818e+000dB,-6.76261682356679e-001°)
1.15877735615512e+001	(6.14820038782592e+000dB,-6.77820865267716e-001°)
1.16144861384034e+001	(6.14820252870838e+000dB,-6.79383644121423e-001°)
1.16412602941049e+001	(6.14820467947094e+000dB,-6.80950027218776e-001°)
1.16680961706096e+001	(6.14820684015917e+000dB,-6.82520022879965e-001°)
1.16949939101987e+001	(6.14820901081889e+000dB,-6.84093639444442e-001°)
1.17219536554813e+001	(6.14821119149610e+000dB,-6.85670885270961e-001°)
1.17489755493953e+001	(6.14821338223702e+000dB,-6.87251768737628e-001°)
1.17760597352080e+001	(6.14821558308808e+000dB,-6.88836298241948e-001°)
1.18032063565173e+001	(6.14821779409595e+000dB,-6.90424482200858e-001°)
1.18304155572516e+001	(6.14822001530746e+000dB,-6.92016329050790e-001°)
1.18576874816716e+001	(6.14822224676973e+000dB,-6.93611847247699e-001°)
1.18850222743701e+001	(6.14822448853004e+000dB,-6.95211045267123e-001°)
1.19124200802737e+001	(6.14822674063589e+000dB,-6.96813931604221e-001°)
1.19398810446427e+001	(6.14822900313504e+000dB,-6.98420514773824e-001°)
1.19674053130724e+001	(6.14823127607543e+000dB,-7.00030803310469e-001°)
1.19949930314937e+001	(6.14823355950524e+000dB,-7.01644805768461e-001°)
1.20226443461741e+001	(6.14823585347287e+000dB,-7.03262530721908e-001°)
1.20503594037179e+001	(6.14823815802694e+000dB,-7.04883986764775e-001°)
1.20781383510678e+001	(6.14824047321631e+000dB,-7.06509182510921e-001°)
1.21059813355048e+001	(6.14824279909002e+000dB,-7.08138126594156e-001°)
1.21338885046497e+001	(6.14824513569739e+000dB,-7.09770827668275e-001°)
1.21618600064636e+001	(6.14824748308795e+000dB,-7.11407294407124e-001°)
1.21898959892486e+001	(6.14824984131143e+000dB,-7.13047535504623e-001°)
1.22179966016487e+001	(6.14825221041784e+000dB,-7.14691559674832e-001°)
1.22461619926504e+001	(6.14825459045737e+000dB,-7.16339375651988e-001°)
1.22743923115840e+001	(6.14825698148048e+000dB,-7.17990992190555e-001°)
1.23026877081238e+001	(6.14825938353785e+000dB,-7.19646418065272e-001°)
1.23310483322890e+001	(6.14826179668037e+000dB,-7.21305662071202e-001°)
1.23594743344450e+001	(6.14826422095922e+000dB,-7.22968733023774e-001°)
1.23879658653036e+001	(6.14826665642575e+000dB,-7.24635639758834e-001°)
1.24165230759240e+001	(6.14826910313159e+000dB,-7.26306391132696e-001°)
1.24451461177138e+001	(6.14827156112861e+000dB,-7.27980996022180e-001°)
1.24738351424294e+001	(6.14827403046889e+000dB,-7.29659463324677e-001°)
1.25025903021771e+001	(6.14827651120476e+000dB,-7.31341801958171e-001°)
1.25314117494141e+001	(6.14827900338882e+000dB,-7.33028020861318e-001°)
1.25602996369487e+001	(6.14828150707387e+000dB,-7.34718128993470e-001°)
1.25892541179416e+001	(6.14828402231300e+000dB,-7.36412135334734e-001°)
1.26182753459066e+001	(6.14828654915949e+000dB,-7.38110048886018e-001°)
1.26473634747114e+001	(6.14828908766692e+000dB,-7.39811878669087e-001°)
1.26765186585784e+001	(6.14829163788907e+000dB,-7.41517633726595e-001°)
1.27057410520853e+001	(6.14829419988000e+000dB,-7.43227323122154e-001°)
1.27350308101665e+001	(6.14829677369400e+000dB,-7.44940955940365e-001°)
1.27643880881134e+001	(6.14829935938563e+000dB,-7.46658541286879e-001°)
1.27938130415752e+001	(6.14830195700970e+000dB,-7.48380088288445e-001°)
1.28233058265601e+001	(6.14830456662124e+000dB,-7.50105606092952e-001°)
1.28528665994361e+001	(6.14830718827557e+000dB,-7.51835103869487e-001°)
1.28824955169313e+001	(6.14830982202825e+000dB,-7.53568590808378e-001°)
1.29121927361353e+001	(6.14831246793511e+000dB,-7.55306076121252e-001°)
1.29419584144998e+001	(6.14831512605220e+000dB,-7.57047569041071e-001°)
1.29717927098395e+001	(6.14831779643589e+000dB,-7.58793078822198e-001°)
1.30016957803328e+001	(6.14832047914275e+000dB,-7.60542614740438e-001°)
1.30316677845229e+001	(6.14832317422963e+000dB,-7.62296186093083e-001°)
1.30617088813183e+001	(6.14832588175368e+000dB,-7.64053802198981e-001°)
1.30918192299940e+001	(6.14832860177225e+000dB,-7.65815472398566e-001°)
1.31219989901920e+001	(6.14833133434300e+000dB,-7.67581206053918e-001°)
1.31522483219223e+001	(6.14833407952385e+000dB,-7.69351012548812e-001°)
1.31825673855640e+001	(6.14833683737295e+000dB,-7.71124901288776e-001°)
1.32129563418657e+001	(6.14833960794877e+000dB,-7.72902881701129e-001°)
1.32434153519466e+001	(6.14834239131002e+000dB,-7.74684963235039e-001°)
1.32739445772973e+001	(6.14834518751569e+000dB,-7.76471155361577e-001°)
1.33045441797808e+001	(6.14834799662505e+000dB,-7.78261467573760e-001°)
1.33352143216332e+001	(6.14835081869761e+000dB,-7.80055909386614e-001°)
1.33659551654643e+001	(6.14835365379319e+000dB,-7.81854490337213e-001°)
1.33967668742593e+001	(6.14835650197188e+000dB,-7.83657219984740e-001°)
1.34276496113785e+001	(6.14835936329402e+000dB,-7.85464107910533e-001°)
1.34586035405594e+001	(6.14836223782026e+000dB,-7.87275163718142e-001°)
1.34896288259164e+001	(6.14836512561153e+000dB,-7.89090397033377e-001°)
1.35207256319427e+001	(6.14836802672900e+000dB,-7.90909817504361e-001°)
1.35518941235103e+001	(6.14837094123418e+000dB,-7.92733434801582e-001°)
1.35831344658714e+001	(6.14837386918883e+000dB,-7.94561258617949e-001°)
1.36144468246594e+001	(6.14837681065498e+000dB,-7.96393298668840e-001°)
1.36458313658891e+001	(6.14837976569498e+000dB,-7.98229564692159e-001°)
1.36772882559584e+001	(6.14838273437145e+000dB,-8.00070066448382e-001°)
1.37088176616484e+001	(6.14838571674731e+000dB,-8.01914813720616e-001°)
1.37404197501251e+001	(6.14838871288576e+000dB,-8.03763816314650e-001°)
1.37720946889394e+001	(6.14839172285028e+000dB,-8.05617084059013e-001°)
1.38038426460287e+001	(6.14839474670466e+000dB,-8.07474626805015e-001°)
1.38356637897177e+001	(6.14839778451299e+000dB,-8.09336454426812e-001°)
1.38675582887188e+001	(6.14840083633964e+000dB,-8.11202576821458e-001°)
1.38995263121334e+001	(6.14840390224929e+000dB,-8.13073003908954e-001°)
